Campaign Name,Account: Employees,Client PAL User,Account: Account Name,Account: Email Domain,Account: Website,Account: Revenue ($mil),Account: Vertical,Account: Main Phone,Account: Billing Street,Account: Billing City,Account: Billing State/Province,Account: Billing Country,Account: DUNS,Status,Account: Primary US NAICS Code,Account: Hoovers Last Refreshed Days,Account: Linked-In Last Refreshed Days,Campaign Account: ID,Account: Account ID,Campaign ID
Danlaw 2019 Q4 - Connected Security - A1,100,Ray Alvarado,3dfs Software-Defined Electricity,3dfs.com,http://www.3dfs.com,50000000,Energy & Utilities,+1 919-807-1884,5960 Fairview Road Suite 400,Charlotte,North Carolina,United States,,Active EMX,,,281,a071O000014UHYk,0011O00001zqoR2,7011O000003Ch5h
Danlaw 2019 Q4 - Connected Security - A1,24,Ray Alvarado,Abode,goabode.com,,2.5,Residential Construction Contractors,206-300-9758,18404 104th Ave Ne,San Francisco,CA,United States,155367659,Active EMX,236115,1322,108,a071O000014UHYl,0011400001pDhJt,7011O000003Ch5h
Danlaw 2019 Q4 - Connected Security - A1,0,Ray Alvarado,Acronova,acronova.com,,0,,,,,,,,Active EMX,,,108,a071O000014UHYm,0011O00002I6GiC,7011O000003Ch5h
Danlaw 2019 Q4 - Connected Security - A1,57,Ray Alvarado,ADT Security,adtsecurity.net,,0,SVCS - OTHER,812-638-4664,1010 25th St,Knoxville,37932,United States,106250320,Active EMX,922190,598,133,a071O000014UHYn,0011O000022a0xo,7011O000003Ch5h
Danlaw 2019 Q4 - Connected Security - A1,0,Ray Alvarado,Advanced Sports Logic,advancedsportslogic.com,www.https://advancedsportslogic.com,0,"Travel, Recreation, and Leisure",+1 603-463-0188,8 Old Wakefield Rd,Rochester,Minnesota,United States,,Active EMX,,1611,,a071O000014UHYo,0011400001ct4Mi,7011O000003Ch5h
Danlaw 2019 Q4 - Connected Security - A1,0,Ray Alvarado,Aernos,aernos.com,,0,,,,,,,,Active EMX,,,108,a071O000014UHYp,0011O00002I6GiE,7011O000003Ch5h
Danlaw 2019 Q4 - Connected Security - A1,60,Ray Alvarado,Affiliated Monitoring,affiliated.com,http://www.affiliated.com,7.89,Business Services,718-332-6100,2 Stahuber Ave,Union,New Jersey,United States,036033108,Active EMX,561621,166,134,a071O000014UHYq,0011400001c7zwZ,7011O000003Ch5h
Danlaw 2019 Q4 - Connected Security - A1,0,Ray Alvarado,Alarm Grid,alarmgrid.com,,0,,,,,,,,Active EMX,,,108,a071O000014UHYr,0011O00002I6GiH,7011O000003Ch5h
Danlaw 2019 Q4 - Connected Security - B1,485,Ray Alvarado,Alert 360,centralsecuritygroup.com,http://www.centralsecuritygroup.com,90,Security System Services,1-918-491-3151,2448 E 81St St Ste 4300,Tulsa,Oklahoma,United States,023545960,Active EMX,561621,221,125,a071O000016y1mC,0011400001iW5cb,7011O000003Cyxk
Danlaw 2019 Q4 - Connected Security - A1,105,Ray Alvarado,Alula Holdings,alula.net,http://www.alula.net,2.58,,715-808-0164,1402 Heggen St,Hudson,Wisconsin,United States,081103364,Active EMX,541618,209,108,a071O000014UHYs,0011O000023o9Cz,7011O000003Ch5h
Danlaw 2019 Q4 - Connected Security - A1,400,Ray Alvarado,Amazon,disneystore.com,www.amazon.com,10.16,Internet Software & Services,12062661000,443 S Raymond Ave,Albany,New York,United States,788842990,Active EMX,452111,1613,112,a071O000014UHYt,001a000001XeJuA,7011O000003Ch5h
Danlaw 2019 Q4 - Connected Security - A1,0,Ray Alvarado,Amerden,amerden.com,,0,,,,,,,,Active EMX,,,108,a071O000014UHYu,0011O00002I6GiM,7011O000003Ch5h
Danlaw 2019 Q4 - Connected Security - A1,0,Ray Alvarado,AMP Smart,ampsecurity.com,,0,,,,,,,,Active EMX,,,108,a071O000014UHYv,0011O00002I6GiN,7011O000003Ch5h
Danlaw 2019 Q4 - Connected Security - A1,10000,Ray Alvarado,Ankit,shopankit.com,http://www.shopankit.com,1.8,Business Services,561-962-2831,2385 Nw Executive Center Dr Ste 100,Boca Raton,Florida,United States,805718140,Active EMX,541618,,108,a071O000014UHYw,0011O00002HGTwZ,7011O000003Ch5h
Danlaw 2019 Q4 - Connected Security - B1,3,Ray Alvarado,Anova Culinary,anovaculinary.com,http://www.anovaculinary.com,0.29,,(855) 421-8282,667 Howard Street,San Francisco,CA,United States,079516830,Active EMX,335228,,108,a071O000016y1mD,0011O000022Yvos,7011O000003Cyxk
Danlaw 2019 Q4 - Connected Security - A1,200,Ray Alvarado,Arctouch,arctouch.com,www.arctouch.com,20.2,Software & Internet,(415) 944-2000,1001 Front St,San Francisco,California,United States,831863241,Active EMX,541511,214,112,a071O000014UHYx,0013000000pZz63,7011O000003Ch5h
Danlaw 2019 Q4 - Connected Security - A1,0,Ray Alvarado,ARLO,arlo.com,www.arlo.com,0,,,,,,,,Active EMX,,,143,a071O000014UHYy,0011O00002H325D,7011O000003Ch5h
Danlaw 2019 Q4 - Connected Security - B1,900,Ray Alvarado,Armit,armit.ch,,40.6,Janitorial & Carpet Cleaning Services,444348484,Schaffhauserstrasse 611,Z65533;65533;rich,Zuerich,Switzerland,480772003,Active EMX,561720,515,108,a071O000016y1mE,0011400001aLrfp,7011O000003Cyxk
Danlaw 2019 Q4 - Connected Security - A1,0,Ray Alvarado,Atlanta Audio & Automation,atlantaaudio.com,,0,,,,,,,,Active EMX,,,108,a071O000014UHYz,0011O00002I6GiR,7011O000003Ch5h
